Item,Size,Quantity ,CAT No.,Vendor , Unit Price ,Initial,Date Requested ,Status ,Order Date,GR #,Order # ,Expected Delivery Date,Tracking #,Storage,Comments ,Link,Received (initial/date),Stored
"Glycine, 99%",500g,1,A13816.36,Thermo Fisher,$50.90 ,SC,20-Feb-26,Ordered,20-Feb-26,,,,,,,,,
TN 760 Toner Cartriges Replacement for Brother,4 pk,1,,Amazon,$37.99 ,GH ,24-Feb-26,Ordered,3-Mar-26,,,,,,,,,
MYTONER TN227 TN-227 Toner Cartridge Compatible Replacement for Brother TN227 TN 227 TN223 TN-227BK/C/M/Y High Yield for HL-L3270CDW HL-L3210CW MFC-L3770CDW MFC-L3750CDW MFC-L3710CW Printer (5 Pack),5 pk,1,,Amazon,$53.19 ,MRS,24-Feb-26,Ordered,3-Mar-26,,,,,,,,,
Anti-6X His tag® antibody [EPR20547] - ChIP Grade,100 uL,1,ab213204,AbCam,$405.00 ,MK,9-Mar-26,Need to order,,,,,,,,https://www.abcam.com/en-us/products/primary-antibodies/6x-his-tag-antibody-epr20547-chip-grade-ab213204,,
Fisherbrand™ Petri Dishes with Clear Lid,100 mm,Case of 500,FB0875713,Fisher Sci,$77.97 ,RG,11-Mar-26,Need to order,,,,,,,,https://www.fishersci.com/shop/products/petri-dishes-clear-lid-2/FB0875713,,
Globe Scientific Certified Microcentrifuge Tubes in Self-Standing Bags,1.5mL,Pack of 500,22-010-090,Fisher Sci,$24.31 ,RG,11-Mar-26,Need to order,,,,,,,,https://www.fishersci.com/shop/products/certified-microcentrifuge-tubes-self-standing-bags-24/22010090#?keyword=22-010-090,,
Pierce™ Anti-DYKDDDDK Magnetic Agarose,4mL,1,A36797,Thermo Fisher,$491.65 ,ET,11-Mar-26,Need to order,,,,,,,,https://www.thermofisher.com/order/catalog/product/A36797,,
"Fisherbrand™ Colored Labeling Tape, Rainbow Pack",14yd.x0.75in,16 pack,15-901-5R,Fisher Sci,$80.93 ,RG,12-Mar-26,Need to order,,,,,,,,https://www.fishersci.com/shop/products/fisherbrand-colored-label-tape-rainbow-pack-4/159015R,,
"Nalgene™ Rapid-Flow™ Sterile Disposable Bottle Top Filters with PES, CN, SFCA or Nylon Membranes",500 mL x 45 mm,2,595-4520,Thermo Fisher,$167.00 ,SC,12-Mar-26,Need to order,,,,,,,,,,
"Nalgene™ Rapid-Flow™ Sterile Disposable Bottle Top Filters with PES, CN, SFCA or Nylon Membranes",500 mL x 33 mm,2,595-3320,Thermo Fisher,$169.51 ,SC,12-Mar-26,Need to order,,,,,,,,,,
