Item,Size,Quantity ,CAT No.,Vendor , Unit Price ,Initial,Date Requested ,Status ,Order Date,GR #,Order # ,Expected Delivery Date,Tracking #,Storage,Comments ,Link,Received (initial/date),Stored
"Acetic Acid, Glacial (Certified ACS), Fisher Chemical",2.5L,1,A38SI-212,Fisher Sci,$135.28 ,SP,12-Nov-25,Received,,,,,,,,https://www.fishersci.com/shop/products/acetic-acid-glacial-certified-acs-fisher-chemical-1/A38SI212,,
"Methanol (HPLC), Fisher Chemical™",4L,1,A452SK-4,Fisher Sci,$62.35 ,SP,12-Nov-25,Received,,,,,,,,https://www.fishersci.com/shop/products/methanol-hplc-fisher-chemical-9/A452SK4?crossRef=a452sk4#?keyword=a452sk4,,
"D-(-)-Arabinose, 99%",50g,1,A10357.18,Thermo Fisher,$111.00 ,MK,14-Nov-25,Received,,,,,,,,https://www.thermofisher.com/order/catalog/product/A10357.18,,
Wizard® SV Gel and PCR Clean-Up System,50 preps,1,A9282,Promega,$128.00 ,MK,19-Nov-25,Received,25-Nov-25,,,,,,,https://www.promega.com/products/nucleic-acid-extraction/plasmid-purification/wizard-plus-sv-minipreps-dna-purification-systems/?catNum=A1330,,
BL21(DE3) Competent Cells,10 x 100uL,1,EC0114,Thermo Fisher,$166.00 ,GH,24-Nov-25,Cancelled,,,,,,,,,,
Fisher BioReagents™ Microbiology Media Additives: Tryptone,500 g,1,BP1421-500,Fisher Sci,$151.38 ,MK,3-Dec-25,Received,,,,,,,,,,
NEBuilder® HiFi DNA Assembly Master Mix,10 rxns,1,E2621S,NEB,$180.00 ,GH,10-Dec-25,Received,10-Dec-25,,7313542,,,,,,,
NEB® 10-beta Competent E. coli (High Efficiency),6 x 0.2 mL,1,C3019I,NEB,$207.00 ,GH,10-Dec-25,Received,10-Dec-25,,7313542,,,,,,,
Pierce™ Unstained Protein MW Marker,2 x 1mL,1,26610,Thermo Fisher,$96.00 ,IA,12-Dec-25,Do not order yet,,,,,,,,https://www.thermofisher.com/order/catalog/product/26610?SID=srch-srp-26610,,
"Thermo Scientific™ Nalgene™ Rapid-Flow™ Sterile Disposable Bottle Top Filters with PES, CN, SFCA or Nylon Membranes","33 mm, 500mL, x12",1,09-741-06 ,Fisher Sci,$99.68 ,IA,11-Dec-25,Received,12-Dec-25,,,,,,,https://www.fishersci.com/shop/products/nalgene-rapid-flow-sterile-disposable-bottle-top-filters-pes-membrane/0974106,,
"Pure Ponta Weigh Boats Medium - 125 Pack 100 ml Plastic Disposable Trays for Scale, Square Weighing Dishes for Powder Weight, Epoxy, Food Samples - Pour Boat Tray, Anti-Static Lab Dish Container",Pack of 125,2,,Amazon,$15.89 ,GH,15-Dec-25,Received,,,,,,,,,,
"Cole-Parmer 81 PLACE CELL DIVIDER DOZEN (4-7/8"" X 4-7/8"" X 1-5/16"")",Pack of 12,1,NC0874396,Fisher Sci,$32.90 ,GH ,15-Dec-25,Received,29-Dec-25,,,,,,,,,
Promega Wizard™ Plus SV Minipreps DNA Purification System,250 preps,1,PR-A1460,Fisher Sci,$455.57 ,RG,24-Dec-25,Received,29-Dec-25,,,,,,,,,
Fisherbrand™ Electroporation Cuvettes Plus™,400 uL x 2mm,1,FB102,Fisher Sci,$184.31 ,RG,24-Dec-25,Received,29-Dec-25,,,,,,,,,
"Nalgene™ General Long-Term Storage Cryogenic Tubes, sterile, 2.0mL, ext. thread, conical bottom",Case of 500,1,5000-0020,Thermo Fisher,$378.00 ,RG,24-Dec-25,Do not order yet,,,,,,,,,,
"Pierce™ Disposable Columns, 10 mL",100,1,29924,Thermo Fisher,$349.00 ,MK,24-Dec-25,Received,29-Dec-25,,,,,,,,,
BD Detergent Solution Concentrate,1,1,660585,BD Bio,$86.00 ,MK,2-Jan-26,Do not order yet,,,,,,,,https://www.bdbiosciences.com/en-us/products/instruments/flow-cytometers/clinical-cell-analyzers/detergent-solution-concentrate.660585?tab=product_details,,
"Filters for Sheath, Detergent Solution and FACSClean bottles (3 pieces)",3 pc,2,660322,BD Bio,$40.00 ,MK,2-Jan-26,Do not order yet,,,,,,,,https://www.bdbiosciences.com/en-us/products/instruments/flow-cytometers/research-cell-sorters/accuri-c6-plus/filters-for-sheath-detergent-solution-and-facsclean-bottles-3-pieces.660322?tab=product_details,,
"Sheath Filter, In-Line",1,1,653148,BD Bio,$55.00 ,MK,2-Jan-26,Do not order yet,,,,,,,,https://www.bdbiosciences.com/en-us/products/instruments/flow-cytometers/research-cell-sorters/accuri-c6-plus/sheath-filter-in-line.653148?tab=product_details,,
Peristaltic Pump Tubing (2 pieces),2 pc,2,659522,BD Bio,$227.65 ,MK,2-Jan-26,Do not order yet,,,,,,,,https://www.bdbiosciences.com/en-us/products/instruments/flow-cytometers/research-cell-analyzers/accuri-c6-plus/peristaltic-pump-tubing-2-pieces.659522?tab=product_details,,
